RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1288,15565701,Ferri,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0
4199,15565706,Akobundu,612,Spain,Male,35,1,0,1,1,1,83256.26,1
7091,15565714,Cattaneo,601,France,Male,47,1,64430.06,2,0,1,96517.97,0
2021,15565779,Kent,627,Germany,Female,30,6,57809.32,1,1,0,188258.49,0
3698,15565796,Docherty,745,Germany,Male,48,10,96048.55,1,1,0,74510.65,0
3417,15565806,Toosey,532,France,Male,38,9,0,2,0,0,30583.95,0
6882,15565878,Bates,631,Spain,Male,29,3,0,2,1,1,197963.46,0
9515,15565879,Riley,845,France,Female,28,9,0,2,1,1,56185.98,0
5796,15565891,Dipietro,709,France,Male,39,8,0,2,1,0,56214.09,0
7187,15565996,Arnold,653,France,Male,44,8,0,2,1,1,154639.72,0
6476,15566030,Tu,497,Germany,Male,41,5,80542.81,1,0,0,88729.22,1
913,15566091,Thomsen,545,Spain,Female,32,4,0,1,1,0,94739.2,0
425,15566111,Estes,596,France,,39,9,0,1,1,0,48963.59,0
9632,15566139,Ts'ui,526,France,Female,37,5,53573.18,1,1,0,62830.97,0
982,15566156,Franklin,749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0
1463,15566211,Hsu,616,Germany,Female,41,1,103560.57,1,1,0,236.45,1
1141,15566251,Ferrari,618,,Female,37,5,96652.86,1,1,0,98686.4,1
5425,15566253,Manning,580,Germany,Male,44,9,143391.07,1,0,0,146891.07,1
5345,15566269,Chialuka,787,France,Male,25,5,0,2,1,0,47307.9,0
704,15566292,Okwuadigbo,574,Spain,Male,36,1,0,2,0,1,71709.12,0
4151,15566295,Sanders,761,France,Female,33,6,138053.79,2,1,0,148779.41,0
6355,15566312,Jolly,660,Spain,Female,42,5,0,3,1,1,189016.24,1
9514,15566378,Tillman,515,France,,48,5,129387.94,1,0,1,147955.91,1
7787,15566380,Drury,586,Spain,Female,33,10,66948.67,2,1,1,140759.03,0
4444,15566467,Hannah,683,Germany,Female,32,0,138171.1,2,1,1,188203.58,0
2045,15566494,Fang,487,,Male,45,2,0,2,1,0,77475.73,0
7228,15566495,Hanson,704,Spain,Female,24,2,0,1,1,0,35600.25,1
9678,15566531,Iloerika,724,Germany,Male,33,4,88046.88,1,0,1,186942.49,1
9962,15566543,Aldridge,573,Spain,Male,44,9,0,2,1,0,107124.17,0
7738,15566563,Duigan,777,France,Female,30,4,137851.31,1,1,0,5008.23,1
411,15566594,McKenzie,709,Spain,Male,23,10,0,2,0,0,129590.18,0
3905,15566633,Freeman,698,Germany,Male,55,8,155059.1,2,1,1,144584.29,0
4231,15566660,Cole,670,France,Female,41,10,0,3,1,0,81602.02,0
3193,15566689,Chimaoke,554,Spain,Male,66,8,0,2,1,1,116747.62,0
2758,15566708,Chidalu,444,France,Female,45,4,0,2,1,0,161653.5,1
8429,15566735,Obialo,548,Germany,Female,36,2,108913.84,2,1,1,140460.01,0
5542,15566740,Nazarova,587,Spain,Male,51,3,83739.32,1,0,1,148798.45,0
8182,15566790,McIntyre,598,France,Male,28,8,129991.76,2,0,1,46041.08,0
1906,15566843,Gotch,535,Germany,Male,20,9,134874.4,1,1,1,118825.56,0
6904,15566891,Kinder,584,Germany,Female,41,3,88594.93,1,1,0,178997.89,0
6426,15566894,Gray,793,France,Male,39,3,137817.52,1,0,0,83997.79,0
1887,15566958,Li Fonti,667,Spain,Male,39,7,167557.12,1,1,1,41183.02,0
5932,15566988,Iqbal,656,Germany,Female,46,7,141535.52,1,1,0,50595.15,1
5550,15567013,De Luca,779,Spain,Male,33,3,0,2,1,0,30804.68,0
4401,15567063,Manna,766,Germany,Female,34,6,106434.94,1,0,1,137995.66,1
4640,15567078,Kovaleva,789,France,Female,27,8,66201.96,1,1,1,79458.12,0
3320,15567114,McGarry,430,France,Male,35,1,118894.22,1,0,0,2923.61,0
8378,15567147,Ratten,802,Spain,Male,40,4,0,2,1,1,81908.09,0
5350,15567246,Selwyn,684,,Male,32,3,102630.13,2,1,1,127433.47,0
4043,15567328,Ch'en,738,Spain,Male,38,5,177997.07,1,0,1,19233.41,0
2584,15567333,Archambault,712,France,Female,31,7,0,2,1,0,170333.38,0
4235,15567335,Allsop,559,France,Female,42,7,0,2,1,1,190040.29,0
9113,15567339,Shaw,735,France,Male,73,9,0,1,1,1,114283.33,0
800,15567367,Tao,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
8758,15567383,Slone,678,Germany,Female,44,2,98009.13,2,0,1,31384.86,0
2000,15567399,Enderby,633,Germany,Male,43,3,144164.29,1,1,1,158646.46,0
1724,15567422,Chiazagomekpele,630,France,Male,42,6,0,2,1,0,162697.93,0
6167,15567431,Kodilinyechukwu,773,France,Male,64,2,145578.28,1,0,1,186172.85,0
8728,15567437,Emenike,734,Germany,Female,30,7,123040.38,1,1,1,76503.06,0
5509,15567442,Ibezimako,656,France,Female,75,3,0,2,1,1,1276.87,0
598,15567446,Coffman,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
2557,15567486,Li,634,Spain,Female,41,4,0,2,1,1,164549.74,0
8487,15567506,Cheatham,738,Germany,Female,40,6,114940.67,2,1,1,194895.57,1
4205,15567557,Chien,573,France,Male,27,2,128243.03,1,1,1,11631.34,0
5272,15567630,Bruce,721,Germany,Male,40,6,100275.88,1,1,0,138564.48,1
8545,15567725,Kodilinyechukwu,689,France,Female,46,7,52016.08,2,1,1,72993.65,0
8524,15567778,Genovese,690,Germany,Female,54,1,144027.8,1,1,1,108731.02,1
4805,15567802,Childs,450,Spain,Female,34,2,0,2,1,0,175480.93,0
535,15567832,Shih,550,France,Female,40,7,114354.95,1,1,0,54018.93,0
7346,15567834,Nieves,719,France,Male,49,5,105918.1,1,1,1,16246.59,0
7192,15567839,Gordon,501,France,,42,9,114631.23,1,0,1,91429.74,0
8929,15567855,Chukwufumnanya,623,France,Female,29,1,0,2,0,0,39382.06,0
7283,15567860,Burrows,581,Spain,Female,44,7,189318.16,2,1,0,45026.23,1
6645,15567893,Lei,556,,Male,33,3,124213.36,2,1,0,62627.55,0
8444,15567897,Chiazagomekpere,619,Germany,Male,23,5,132725.1,1,1,1,143913.33,0
7573,15567919,Lazarev,586,Germany,Male,37,8,167735.69,2,0,1,104665.79,0
9201,15567923,Barese,739,France,Female,30,6,0,1,0,0,122604.44,0
2450,15567980,Frater,537,Germany,Female,46,5,100727.5,1,0,1,140857.76,1
5882,15567991,Obiuto,794,Spain,Male,31,0,144880.34,2,0,1,175643.44,0
1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0
4512,15568006,Ukaegbunam,634,,Female,45,2,0,4,1,0,101039.53,1
2447,15568025,Hsueh,758,France,Male,51,8,81710.46,1,1,1,116520.07,0
8174,15568032,Moore,757,Germany,Male,31,1,127320.36,3,1,0,163170.32,0
3354,15568044,Butusov,508,France,Female,31,7,0,2,1,1,6123.15,0
4683,15568046,Izuchukwu,809,France,Male,24,7,109558.36,1,1,0,183515.13,0
6814,15568088,Jamieson,481,Germany,Male,44,3,163714.52,1,1,0,96123.72,0
5677,15568104,Zubarev,749,France,Female,26,6,0,2,0,1,34948.77,0
1554,15568106,L?,592,France,Female,38,8,119278.01,2,0,1,19370.73,0
3495,15568120,Lacross,681,France,Female,37,7,69609.85,1,1,1,72127.83,0
7066,15568162,Sung,527,Spain,Male,53,8,0,1,1,1,51711.57,0
8465,15568164,Istomin,850,France,Female,34,4,71379.53,2,1,1,154000.99,0
5098,15568238,Diaz,650,Spain,Male,20,8,0,2,1,1,113469.65,0
383,15568240,Ting,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
9181,15568326,Kenenna,637,France,Female,44,2,0,2,1,0,149665.65,0
3883,15568328,Black,488,France,Female,22,6,0,2,1,1,66393.89,0
1526,15568360,Rolon,569,Spain,Female,41,4,139840.36,1,1,1,163524.7,0
4435,15568429,Mitchell,633,Spain,Female,46,3,0,2,1,0,120250.58,0
6754,15568449,Fu,661,Spain,Male,38,7,143006.7,1,1,1,15650.89,0
7304,15568469,Buckley,653,France,Male,43,0,0,2,1,0,27862.58,0
5493,15568487,Gorshkov,712,France,Male,35,7,124616.23,1,1,1,69320.97,0
511,15568506,Forbes,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
8338,15568519,Wood,534,France,Male,41,9,0,2,1,0,13871.34,0
6289,15568562,Moss,689,France,Male,40,8,160272.27,1,1,0,49656.24,0
3732,15568573,Graham,554,Germany,Female,51,7,105701.91,1,0,1,179797.79,1
659,15568595,Fleming,544,France,Male,64,9,113829.45,1,1,1,124341.49,0
6368,15568742,Parkes,536,France,,41,9,0,1,1,0,121299.14,0
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
7591,15568819,Chiganu,619,Germany,Female,42,8,132796.04,3,1,1,191821.35,1
6025,15568834,Howells,698,Spain,Male,27,6,125427.37,2,0,0,27654.44,0
9159,15568849,Bryan,540,Spain,Female,31,10,118158.74,1,1,1,158027.57,0
9915,15568876,Hughes,496,France,Female,34,1,102723.35,2,1,0,180844.81,0
7352,15568878,Cheng,654,Spain,Male,34,5,0,2,1,0,159311.46,0
5741,15568885,Scott,620,Germany,Female,34,8,102251.57,1,1,0,120672.09,0
7808,15568904,Kruglova,608,Germany,Male,34,3,106288.54,1,1,1,36639.25,0
3845,15568915,Bailey,681,France,Male,38,6,153722.47,1,1,0,101319.76,0
3771,15568953,Alexeieva,477,France,Male,27,1,128554.98,1,1,1,133173.19,0
1749,15568963,Naquin,674,Germany,Male,34,2,152797.9,1,1,0,175709.4,1
20,15568982,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0
1009,15569050,Farrell,444,France,Male,45,6,0,1,1,0,130009.85,1
4034,15569079,Hagins,632,Germany,Male,48,6,126066.26,1,1,0,64345.61,1
4152,15569098,Winifred,627,France,Male,44,6,153548.12,1,0,0,35300.08,1
4983,15569120,Lucas,615,France,Male,30,7,0,2,1,1,156346.84,0
1679,15569178,Kharlamov,570,France,Female,18,4,82767.42,1,1,0,71811.9,0
1949,15569187,Fleming,680,Spain,Male,35,9,0,2,0,0,143774.06,0
1841,15569209,Amaechi,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0
2311,15569222,Mendes,781,France,Male,32,6,147107.91,1,1,1,40066.95,0
1140,15569247,Mitchell,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0
3521,15569248,Milanesi,554,France,Female,43,10,0,2,1,0,149629.13,1
6965,15569249,Howarth,576,France,Female,55,6,44582.07,3,0,1,67539.85,1
5324,15569264,Yobanna,622,France,Male,32,5,179305.09,1,1,1,149043.78,0
9994,15569266,Rahman,644,France,Male,28,7,155060.41,1,1,0,29179.52,0
4885,15569274,Pisano,678,Germany,Male,49,2,116933.11,1,1,0,195053.58,1
4450,15569364,Victor,666,France,Male,36,3,0,2,1,0,35156.54,0
7653,15569394,Bailey,704,France,Male,24,2,148197.15,2,1,0,182775.08,0
1751,15569410,Tang,601,Germany,Female,33,7,114430.18,2,1,1,153012.13,0
1650,15569423,Cunningham,731,Spain,Male,41,4,0,2,1,0,22299.27,0
8295,15569430,Burrows,704,Spain,Female,36,2,175509.8,2,1,0,152039.67,0
6775,15569432,Macleod,656,France,Female,48,9,0,2,1,1,85240.61,1
4181,15569438,Mai,607,Germany,Male,36,10,106702.94,2,0,0,198313.69,0
4246,15569446,Tu,732,France,Female,34,8,122338.43,2,1,0,187985.85,0
1204,15569451,Miller,463,France,Male,35,2,101257.16,1,1,1,118113.64,0
9187,15569452,Butler,652,Germany,Female,58,3,116353.2,2,0,1,193502.9,0
2065,15569503,Yeh,765,France,Male,44,6,0,2,1,1,159899.97,0
9765,15569526,Morales,601,France,Male,40,10,98627.13,2,0,0,77977.69,0
2540,15569571,Davydova,584,Germany,Female,46,6,87361.02,2,1,0,120376.87,1
3643,15569572,Sopuluchi,778,France,Male,42,6,0,2,1,1,106197.44,0
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
7596,15569595,Walker,678,France,Female,50,6,0,1,1,0,8199.5,0
9052,15569624,Feng,671,Germany,Female,31,6,105864.6,2,1,0,145567.34,0
8246,15569626,Miller,577,Spain,Male,35,5,110080.3,1,1,1,109794.31,0
3157,15569641,Sung,692,Germany,Female,41,8,130701.29,1,1,0,59354.24,1
6201,15569654,Munro,850,Germany,Female,31,3,51293.47,1,0,0,35534.68,0
5848,15569666,Goddard,517,France,Female,45,4,0,1,0,0,172674.36,1
4931,15569670,Alexeyeva,627,Germany,Male,30,6,112372.96,1,1,1,118029.09,0
2162,15569678,Cocci,561,Germany,Male,32,6,166824.59,1,1,0,139451.98,0
7465,15569682,Leckie,768,Germany,Male,37,9,108308.11,1,1,0,41788.25,1
5901,15569759,Rawling,583,France,Female,27,4,0,3,1,0,163113.41,0
5654,15569764,Garner,687,Germany,Female,41,2,154007.21,1,1,0,158408.23,0
646,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
7871,15569867,Chinweuba,529,France,Female,29,8,0,2,1,0,19842.11,0
5517,15569878,Dale,592,France,Male,37,3,96651.03,1,1,1,3232.82,0
9997,15569892,Johnstone,516,France,Male,35,10,57369.61,1,1,1,101699.77,0
7555,15569917,Obijiaku,706,Spain,Male,30,6,87609.68,2,0,0,137674.55,1
5847,15569945,Horsley,509,Spain,Male,29,1,0,2,1,0,69113.14,0
8578,15569976,Woronoff,754,Germany,Male,65,1,136186.44,1,1,1,121529.59,1
8924,15570002,Burlingame,625,Germany,Female,55,8,118772.71,4,0,0,135853.62,1
2392,15570004,Tsou,850,France,Male,31,3,0,2,1,0,121866.87,0
4394,15570051,Gill,775,Germany,Female,38,6,179886.41,2,0,0,153122.58,0
977,15570060,Palerma,586,France,Female,43,8,132558.26,1,1,0,67046.83,1
9546,15570073,Marian,721,Spain,Male,57,1,0,1,1,1,195940.96,0
7723,15570086,Lynch,684,Germany,Male,18,9,90544,1,0,1,4777.23,0
4530,15570087,Parry-Okeden,664,France,Female,44,8,142989.69,1,1,1,115452.51,1
799,15570134,Padovano,683,France,Female,35,6,187530.66,2,1,1,37976.36,0
8205,15570141,P'eng,724,France,Female,34,3,132352.69,1,1,0,80320.3,0
9700,15570145,Long,763,France,Female,23,2,0,2,1,0,153983.99,0
8993,15570192,Henry,608,Germany,Female,40,8,121729.42,1,0,0,61164.45,0
8827,15570194,Ikemefuna,412,France,Male,29,5,0,2,0,0,12510.53,0
1687,15570205,Tao,682,Spain,Male,36,5,0,2,1,1,147758.51,0
9017,15570271,Wan,577,Spain,Male,31,6,0,1,1,1,196395.25,0
8727,15570289,Benson,697,Germany,Male,43,8,103409.16,1,1,0,66893.28,1
7792,15570299,Martin,584,Germany,Female,31,6,152622.34,1,1,0,99298.8,0
1181,15570326,Wilkins,621,France,Male,34,6,0,2,1,1,99128.13,0
3429,15570360,Wan,641,France,Female,35,4,0,2,0,0,125986.18,0
5839,15570379,Whitelegge,669,Spain,Male,51,3,88827.53,1,0,0,85250.77,1
6356,15570414,Chizoba,618,Spain,Male,41,4,115251.64,1,0,0,136435.75,0
1044,15570417,Chien,579,France,Male,35,1,0,2,1,0,4460.2,0
8818,15570485,Udegbunam,558,Spain,Male,40,4,161766.87,1,0,0,92378.54,0
7327,15570508,Azubuike,600,France,Male,49,7,90218.9,1,1,0,91347.76,0
9601,15570533,Conti,621,Germany,Female,55,7,131033.76,1,0,1,75685.59,1
1856,15570601,Cheng,785,France,Female,47,9,122031.55,1,1,1,33823.5,1
3383,15570629,Alexeyeva,655,Germany,Female,72,5,138089.97,2,1,1,99920.41,0
9210,15570681,Chiang,560,France,Male,24,1,116084.32,1,1,0,89734.7,0
2909,15570769,Kibble,494,France,Male,69,9,93320.8,1,1,1,24489.44,0
2273,15570835,Fallaci,491,Germany,Female,57,4,112044.72,1,1,1,41229.73,1
8262,15570855,Leonard,670,France,Male,38,7,0,2,1,1,77864.41,0
8560,15570857,Kambinachi,677,Germany,Female,39,0,111213.64,2,1,1,147578.26,0
1992,15570859,Froggatt,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0
6251,15570895,Ch'in,608,France,Male,42,10,163548.07,1,1,0,38866.85,0
8741,15570908,Harding,687,Spain,Female,29,7,93617.07,1,0,1,113050.92,0
6785,15570912,Ogbonnaya,728,Germany,Female,32,9,127772.1,2,1,1,152643.48,0
7910,15570931,Grant,620,France,Male,61,5,0,1,0,0,31641.52,1
3070,15570932,Pirozzi,666,France,Male,43,7,137780.74,2,1,1,119100.05,1
2882,15570943,Artemyeva,711,Germany,Female,35,2,133607.75,1,1,1,120586.32,0
7358,15570947,Bruny,615,Spain,Female,29,7,143330.56,2,1,1,126396.01,0
6933,15570970,Han,647,France,Female,42,9,0,2,1,1,51362.82,0
7208,15570990,Begley,520,Spain,Female,30,4,145222.99,2,0,0,145160.96,0
956,15571002,Yusupov,706,France,Female,44,4,129605.99,1,0,0,69865.49,0
3086,15571059,Martin,734,France,Female,54,3,0,1,1,0,130805.54,1
9393,15571065,Lehr,532,Spain,Female,39,0,0,2,1,0,94977.3,0
7261,15571081,Hansen,773,France,Female,41,7,190238.93,1,1,1,57549.65,0
7005,15571121,Kodilinyechukwu,670,France,Female,50,8,138340.06,1,0,1,3159.15,0
6104,15571144,Ives,655,France,Male,28,10,0,2,0,1,126565.21,0
2489,15571148,Baranov,645,Spain,Female,21,1,0,2,0,0,28726.07,0
5963,15571193,Morrison,579,Germany,Male,42,0,144386.32,1,1,1,22497.1,1
785,15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
4907,15571244,Tung,809,Spain,Female,33,3,0,2,0,1,141426.78,0
4421,15571261,Toscani,714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0
9506,15571281,Ts'ao,651,France,Male,28,10,79562.98,1,1,1,74687.37,0
7278,15571284,Elmore,756,Germany,Male,32,0,109528.16,2,1,1,56176.31,0
3379,15571302,Estep,529,Germany,Male,72,5,94216.05,1,1,1,78695.68,0
2064,15571305,Stephenson,588,Germany,Female,35,1,103060.63,1,1,0,179866.01,1
7085,15571415,Okwudiliolisa,805,Germany,Male,56,6,151802.29,1,1,0,46791.09,1
5744,15571476,Kelly,635,Spain,Male,38,0,103257.14,1,0,0,158344.63,0
9477,15571529,Kirby,650,Germany,Female,48,7,138232.24,1,1,0,57594.78,0
1639,15571550,Dore,699,France,Male,39,9,0,1,1,0,80963.92,0
7607,15571571,Ting,680,Germany,Female,31,3,127331.46,3,1,1,176433.6,0
9452,15571586,Briggs,524,Spain,Male,29,3,159035.45,1,1,0,2705.31,1
4602,15571666,Shaw,642,Germany,Male,30,8,134497.27,1,0,0,43250.54,0
3636,15571689,Kelechi,740,France,Female,37,5,0,2,1,1,27528.4,0
1380,15571752,Romani,668,Germany,Female,32,10,92041.87,1,1,1,43595.9,0
9789,15571756,Ohearn,724,France,Female,28,5,0,1,1,0,59351.68,0
1460,15571778,Trentini,817,France,Female,55,10,117561.49,1,1,0,95941.55,1
560,15571816,Ritchie,850,Spain,Female,70,5,0,1,1,1,705.18,0
8142,15571843,Lawrence,486,Spain,Male,24,1,0,1,1,0,98802.76,0
6520,15571869,Lei,669,Germany,Female,50,4,112650.89,1,0,0,166386.22,1
8026,15571873,Sung,655,France,Male,24,9,107065.31,1,1,1,51959.82,0
9294,15571917,Eluemuno,771,Germany,Female,38,5,137657.71,2,1,0,72985.61,0
882,15571928,Fraser,679,France,Female,43,4,0,3,1,0,115136.51,1
7743,15571940,Afamefula,579,Spain,Male,22,3,118680.57,1,1,1,49829.8,0
3589,15571958,McIntosh,489,Spain,Male,40,3,221532.8,1,1,0,171867.08,0
724,15571973,Chinwemma,776,France,Female,38,2,169824.46,1,1,0,169291.7,0
6242,15571995,Harper,775,Germany,Female,33,1,118897.1,2,1,1,26362.4,0
9741,15572021,Ts'ao,798,Germany,Female,29,8,80204.11,2,1,0,70223.22,0
8141,15572022,Han,605,France,Female,36,6,0,1,0,1,690.84,0
5713,15572038,Chijindum,660,Germany,Male,35,9,113948.58,1,1,0,188891.96,1
